Words; Positive; Negative; Neutral
सुहेला: 0.750814659854367 0.0 0.249185340145633 
व्याधिहीन: 0.9999277401137843 9.708981852829881e-06 6.255090436285804e-05 
शुद्ध: 0.9996612019323301 2.998548468552814e-06 0.00033579951920139505 
निरोग: 0.9999277401137843 9.708981852829881e-06 6.255090436285804e-05 
मुलायम: 1.0 0.0 0.0 
नाज़ुक: 1.0 0.0 0.0 
नाजुक: 1.0 0.0 0.0 
कमज़ोर: 0.9971145885507654 0.0027915639533195253 9.3847495915075e-05 
सोमाल: 1.0 0.0 0.0 
कच्चा: 0.9999279871668534 9.700664272469764e-06 6.231216887410438e-05 
कमजोर: 0.9971145885504931 0.0027915639535829617 9.384749592393127e-05 
अप्रखर: 1.0 0.0 0.0 
लचर: 1.0 0.0 0.0 
अदृढ़: 1.0 0.0 0.0 
तनु: 0.9883146627611673 0.010937475655547419 0.0007478615832852936 
कोमल: 1.0 0.0 0.0 
मृदुल: 1.0 0.0 0.0 
नर्म: 0.9984579038103221 0.0010227636435915675 0.0005193325460864203 
मृदु: 1.0 0.0 0.0 
गुलगुल: 1.0 0.0 0.0 
नरम: 0.9984749169578121 0.0010114800227432866 0.0005136030194446308 
ईमानदार: 0.9999264163078121 9.684827920512256e-06 6.389886426736504e-05 
ऋजु: 0.9999264163078121 9.684827920512256e-06 6.389886426736504e-05 
दयानतदार: 0.9999264163078121 9.684827920512256e-06 6.389886426736504e-05 
निष्कपट: 0.9999264162361244 9.684833750306087e-06 6.389893012523186e-05 
सहधर्म: 0.9999264163078122 9.684827920514256e-06 6.389886426732202e-05 
सच्चा: 0.9999264163078121 9.68482792051228e-06 6.389886426736505e-05 
रिजु: 0.9999264163078121 9.684827920512256e-06 6.389886426736504e-05 
छलहीन: 0.9999264163078121 9.684827920512256e-06 6.389886426736504e-05 
निःकपट: 0.9999264162361244 9.684833750306087e-06 6.389893012523186e-05 
सधर्म: 0.9999264163078122 9.684827920514256e-06 6.389886426732202e-05 
अद्भुत: 0.9995738588604124 7.249596949123422e-07 0.00042541617989264795 
विलक्षण: 0.9995738588604124 7.249596949123987e-07 0.0004254161798926811 
विस्मयकारी: 0.17114903698503928 0.0 0.8288509630149608 
अनूठा: 0.9995738599646582 7.249596957760149e-07 0.0004254150756459843 
अजूबा: 0.9995738600970582 7.249594705340707e-07 0.0004254149434713002 
अजीबोग़रीब: 0.9995738599646581 7.24959695776354e-07 0.0004254150756461833 
विचित्र: 0.9995738588604118 7.249596949133596e-07 0.000425416179893245 
आश्चर्यजनक: 0.9995738599646572 7.249596957778236e-07 0.0004254150756470457 
अजीब-सा: 0.17017818708912283 0.0 0.8298218129108772 
जिज्ञासाजनक: 0.16910762193781062 0.0 0.8308923780621894 
अजब: 0.9995738599646553 7.249596957809891e-07 0.0004254150756489032 
अजीब: 0.999573858860405 7.249596949251168e-07 0.0004254161799001443 
अनोखा: 0.9999275061945861 9.731196692460099e-06 6.276260872143229e-05 
विस्मयजनक: 0.15576542088093784 0.0 0.8442345791190622 
कुतूहलजनक: 0.139695502360388 0.0 0.860304497639612 
अज़ीब-सा: 0.10564769374003882 0.0 0.8943523062599612 
प्रतिभाशाली: 1.0 0.0 0.0 
जहीन: 1.0 0.0 0.0 
प्रतिभासम्पन्न: 1.0 0.0 0.0 
प्रतिभासंपन्न: 1.0 0.0 0.0 
मतिगर्भ: 1.0 0.0 0.0 
प्रगल्भ: 0.9979080124406949 0.0 0.0020919875593050667 
ज़हीन: 1.0 0.0 0.0 
प्रतिभावान: 1.0 0.0 0.0 
बुद्धिमान: 0.9999264163078121 9.684827920522501e-06 6.389886426735085e-05 
होशियार: 0.9999264161844291 9.684824682512379e-06 6.389899088837876e-05 
अक़्लमंद: 0.9999264163078121 9.684827920522501e-06 6.389886426735085e-05 
मेधावी: 0.9999267701837713 1.0604821982043602e-05 6.262499424663557e-05 
अक्लमंद: 0.9999264163078121 9.684827920512256e-06 6.389886426736504e-05 
दिमाग़ी: 0.9999272029834461 9.899540520943386e-06 6.289747603300249e-05 
दिमागी: 0.999927202983446 9.899540520955498e-06 6.289747603307944e-05 
अकलमंद: 0.9999264163078121 9.684827920522501e-06 6.389886426735085e-05 
अकलमन्द: 0.9999264163078121 9.684827920512256e-06 6.389886426736504e-05 
दिमाग़दार: 0.9999267701837639 1.0604821983128507e-05 6.26249942530423e-05 
दिमागदार: 0.9999264163078121 9.684827920522501e-06 6.389886426735085e-05 
अक्लमन्द: 0.9999264163078121 9.684827920512256e-06 6.389886426736504e-05 
समझदार: 0.9999264163078121 9.684827920522501e-06 6.389886426735085e-05 
प्यार: 0.9998813913703808 8.594133845884653e-06 0.00011001449577331324 
ममता: 1.0 0.0 0.0 
आबंध: 0.9985466732728504 5.76502031337553e-05 0.0013956765240158947 
लाड़ प्यार: 1.0 0.0 0.0 
प्रीति: 0.9998813913703808 8.594133845884653e-06 0.00011001449577331324 
आबन्ध: 0.9985466732727329 5.7650203138413485e-05 0.0013956765241286665 
दिल्लगी: 1.0 0.0 0.0 
आशनाई: 1.0 0.0 0.0 
नेह: 1.0 0.0 0.0 
छोह: 0.9998813913703808 8.594133845884653e-06 0.00011001449577331324 
लालन: 1.0 0.0 0.0 
चाव: 1.0 0.0 0.0 
प्रीत: 0.9998813913703808 8.594133845884653e-06 0.00011001449577331324 
लाड़: 0.9999260491550283 9.713209096306921e-06 6.423763587539428e-05 
लाड: 1.0 0.0 0.0 
लाड़-दुलार: 1.0 0.0 0.0 
अनुराग: 0.9998901726373245 8.862682945016853e-06 0.00010096467973054493 
मुहब्बत: 0.9998813913703808 8.594133845884653e-06 0.00011001449577331324 
प्रेम: 0.9998813913703808 8.594133845884653e-06 0.00011001449577331324 
लाड़-प्यार: 1.0 0.0 0.0 
दुलार: 1.0 0.0 0.0 
स्नेह: 0.5168863583183839 0.0 0.4831136416816161 
आबन्धन: 0.9985466662742835 5.764885123226893e-05 0.0013956848744842495 
मोह: 1.0 0.0 0.0 
लगन: 0.9998813913703808 8.594133845884653e-06 0.00011001449577331324 
प्रणय: 1.0 0.0 0.0 
आबंधन: 0.9985466732478377 5.765020412594896e-05 0.0013956765480363027 
इश्क़: 0.9998813913703808 8.594133845884653e-06 0.00011001449577331324 
इश्क: 0.9998813913703808 8.594133845884653e-06 0.00011001449577331324 
दयालु: 0.9963876489527465 0.0 0.0036123510472535554 
सुहृदय: 0.9964253102789774 0.0 0.0035746897210226164 
दयावान: 0.9963875713651204 0.0 0.0036124286348796723 
सहृदय: 0.9964250852020023 0.0 0.0035749147979976625 
दयावान्: 0.9963872639096825 0.0 0.0036127360903175916 
सहृदयी: 0.9964244829458987 0.0 0.0035755170541012554 
दयाशील: 0.996386033564399 0.0 0.0036139664356009344 
दयावंत: 0.9963844167306513 0.0 0.0036155832693487854 
कृपालु: 0.9963811787191873 0.0 0.0036188212808126556 
मेहरबान: 0.9963746852658245 0.0 0.003625314734175444 
शक्तिमान: 0.9999269285570648 1.0353840202453419e-05 6.271760273273227e-05 
बलिष्ठ: 0.9999269285570648 1.0353840202453428e-05 6.271760273273233e-05 
शक्तिपूर्ण: 0.9999269285570648 1.0353840202453444e-05 6.271760273273243e-05 
ताक़तवर: 0.9999269285570648 1.0353840202453478e-05 6.271760273273264e-05 
बलशाली: 0.9999269285570648 1.0353840202453548e-05 6.271760273273304e-05 
ताकतवर: 0.9999269285570648 1.0353840202453683e-05 6.271760273273387e-05 
शक्तिवान: 0.9999269285570648 1.0353840202453956e-05 6.271760273273552e-05 
शक्तिमान्: 0.9999269285570648 1.03538402024545e-05 6.271760273273883e-05 
शक्तिशाली: 0.9999269285570648 1.0353840202455591e-05 6.271760273274543e-05 
ताज़ा: 0.9999270903418944 9.773599892417718e-06 6.313605821318053e-05 
ताज़ा ताज़ा: 1.0 0.0 0.0 
गरम गरम: 0.9999270903418944 9.773599892417718e-06 6.313605821318053e-05 
गर्मा-गर्म: 0.9999270903418944 9.773599892417718e-06 6.313605821318053e-05 
निर्मल: 0.9999244704465741 9.791578190487763e-06 6.573797523540449e-05 
पवित्र: 0.9999244704465741 9.791578190486945e-06 6.5737975235399e-05 
ताजा-ताजा: 1.0 0.0 0.0 
साफ़-सुथरा: 0.9999244704465741 9.79157819048777e-06 6.573797523540453e-05 
